title,director,content_type,genres,nation,year,ratings_avg,movie_code
판의 미로 - 오필리아와 세 개의 열쇠,['기예르모 델 토로'],movies,"['판타지', '드라마', '전쟁']",멕시코,2006,3.7,m5YMvR5
게이샤의 추억,['롭 마샬'],movies,"['로맨스', '드라마']",미국,2005,3.2,m5rQZ3d
에비에이터,['마틴 스콜세지'],movies,"['드라마', '모험', '로맨스']",독일,2004,3.5,mdjaBaO
마스터 앤드 커맨더: 위대한 정복자,['피터 위어'],movies,"['액션', '모험', '드라마', '역사', '전쟁']",미국,2003,3.4,m5NEVad
로드 투 퍼디션,['샘 멘데스'],movies,"['범죄', '드라마', '스릴러']",미국,2002,3.5,mW93qMd
반지의 제왕 : 반지 원정대,['피터 잭슨'],movies,"['판타지', '드라마', '액션', '모험']",뉴질랜드,2001,4.1,mP5mPzd
와호장룡,['이안'],movies,"['액션', '모험', '판타지', '로맨스']",대만,2000,3.7,mWzwXgO
아메리칸 뷰티,['샘 멘데스'],movies,"['드라마', '코미디']",미국,1999,3.8,mnWJ03d
라이언 일병 구하기,['스티븐 스필버그'],movies,"['전쟁', '액션', '드라마']",미국,1998,4.1,mYdE4GO
타이타닉,['제임스 카메론'],movies,"['로맨스', '드라마']",미국,1997,4.3,mJ5x8x5
잉글리쉬 페이션트,['안소니 밍겔라'],movies,"['로맨스', '전쟁', '드라마']",영국,1996,3.6,mM5rJ35
브레이브하트,['멜 깁슨'],movies,"['드라마', '역사', '전쟁']",미국,1995,4.0,m45neYd
가을의 전설,['에드워드 즈윅'],movies,"['드라마', '로맨스', '전쟁']",미국,1994,3.8,mwWLQwO
쉰들러 리스트,['스티븐 스필버그'],movies,"['드라마', '역사', '전쟁']",미국,1993,4.2,moW4XlW
흐르는 강물처럼,['로버트 레드포드'],movies,['드라마'],미국,1992,3.9,m45nq3d
JFK,['올리버 스톤'],movies,"['역사', '공포', '드라마', '스릴러', '범죄', '미스터리']",미국,1991,3.6,mJ5xxg5
늑대와 춤을,['케빈 코스트너'],movies,"['모험', '서부극', '드라마']",영국,1990,3.9,m85XVzO
영광의 깃발,['에드워드 즈윅'],movies,"['전쟁', '드라마']",미국,1989,3.4,mO0gQRW
미시시피 버닝,['알란 파커'],movies,[],미국,1988,3.5,md7gapd
마지막 황제,['베르나르도 베르톨루치'],movies,"['시대극', '드라마']",미국,1987,3.8,mOkN7QW
미션,['롤랑 조페'],movies,['드라마'],영국,1986,3.9,mgOA9GO
아웃 오브 아프리카,['시드니 폴락'],movies,"['드라마', '로맨스']",미국,1985,3.8,mWqJblO
킬링 필드,['롤랑 조페'],movies,"['전쟁', '드라마']",미국,1984,3.6,mO13Xx5
화니와 알렉산더,['잉마르 베리만'],movies,"['판타지', '드라마', '스릴러']",스웨덴,1982,3.9,m5Dwwed
간디,['리처드 애튼버러'],movies,['드라마'],영국,1982,3.4,mnOoya5
레즈,['워렌 비티'],movies,"['역사', '드라마', '로맨스']",미국,1981,3.6,mJO19YO
테스,['로만 폴란스키'],movies,"['드라마', '로맨스']",프랑스,1979,3.5,m5mLLDd
지옥의 묵시록,['프란시스 포드 코폴라'],movies,"['드라마', '전쟁']",미국,1979,3.8,md6YlgO
천국의 나날들,['테렌스 맬릭'],movies,['드라마'],미국,1978,3.8,mAOlQgd
미지와의 조우,['스티븐 스필버그'],movies,"['드라마', 'SF']",미국,1977,3.6,m533rL5
바운드 포 글로리,['할 애쉬비'],movies,['드라마'],미국,1976,4.0,mdKom9d
배리 린든,['스탠리 큐브릭'],movies,"['드라마', '전쟁', '로맨스']",영국,1975,3.9,m15GRvd
타워링,"['존 길러민', '어윈 앨런']",movies,"['재난', '드라마', '액션', '스릴러']",미국,1974,3.7,mWwBrX5
외침과 속삭임,['잉마르 베리만'],movies,['드라마'],스웨덴,1972,2.7,mJOVpY5
캬바레,['밥 포시'],movies,"['전쟁', '드라마']",미국,1972,3.9,m5XjJLO
지붕 위의 바이올린,['노만 주이슨'],movies,"['드라마', '가족']",미국,1971,3.7,mW4DVLW
라이언의 딸,['데이비드 린'],movies,"['로맨스', '드라마']",영국,1970,3.8,m5nBko5
내일을 향해 쏴라,['조지 로이 힐'],movies,"['서부극', '드라마', '범죄']",미국,1969,3.9,m5eQb35
로미오와 줄리엣,['프랑코 제페렐리'],movies,['로맨스'],이탈리아,1968,3.8,m5XMEAW
우리에게 내일은 없다,['아서 펜'],movies,"['로맨스', '범죄', '액션', '드라마']",미국,1967,3.8,m5XM2gW
누가 버지니아 울프를 두려워하랴,['마이크 니콜스'],movies,['드라마'],미국,1966,3.6,mdjDy9W
사계의 사나이,['프레드 진네만'],movies,['드라마'],영국,1966,2.7,m5XgzAd
바보들의 배,['스탠리 크레이머'],movies,[],미국,1965,2.2,mWzzZVW
닥터 지바고,['데이비드 린'],movies,"['로맨스', '드라마']",미국,1965,3.7,mDWvMM5
희랍인 조르바,['마이클 카코야니스'],movies,['드라마'],그리스,1964,3.5,mO16xod
마이 페어 레이디,['조지 쿠커'],movies,"['가족', '로맨스', '드라마']",미국,1964,3.7,mn5NpaO
허드,['마틴 리트'],movies,['드라마'],미국,1963,3.7,m5YRmwW
클레오파트라,['조셉 L. 맨키위즈'],movies,['드라마'],미국,1963,3.3,mdBLQDW
지상 최대의 작전,"['켄 아나킨', '앤드류 마튼', '벤하드 위키', '대릴 F. 자눅', '제드 오스왈드']",movies,"['액션', '전쟁', '드라마']",미국,1962,3.7,m5ZX90O
아라비아의 로렌스,['데이비드 린'],movies,"['전쟁', '드라마', '모험']",영국,1962,3.8,mdj01oW
허슬러,['로버트 로즌'],movies,"['스포츠', '드라마']",미국,1961,3.6,mWLoqj5
웨스트 사이드 스토리,"['제롬 로빈스', '로버트 와이즈']",movies,"['음악', '드라마', '범죄', '로맨스']",미국,1961,3.6,mDWvXDd
아들과 연인,['잭 카디프'],movies,[],영국,1960,2.8,mW44VLW
스팔타커스,['스탠리 큐브릭'],movies,"['드라마', '액션', '역사']",미국,1960,3.6,m5GX4pW
안네의 일기,['조지 스티븐스'],movies,['드라마'],미국,1959,3.5,mdKP1z5
벤허,['윌리엄 와일러'],movies,"['모험', '역사', '로맨스', '드라마', '액션']",미국,1959,4.0,mdRLYKW
흑과 백,['스탠리 크레이머'],movies,"['드라마', '범죄']",미국,1958,3.6,mdjJ7Dd
지지,['빈센트 미넬리'],movies,['로맨틱코미디'],미국,1958,2.7,mOkvbEW
콰이강의 다리,['데이비드 린'],movies,"['전쟁', '드라마']",영국,1957,3.7,mdRLygW
상처 뿐인 영광,['로버트 와이즈'],movies,"['스포츠', '드라마']",미국,1956,3.3,m5NLPaO
80일간의 세계일주,['마이클 앤더슨'],movies,"['코미디', '모험']",미국,1956,3.4,mWJyPL5
장미 문신,['다니엘 만'],movies,[],미국,1955,3.5,m5mNYDW
나는 결백하다,['알프레드 히치콕'],movies,"['로맨스', '스릴러']",미국,1955,3.4,m5m6KzW
워터프론트,['엘리아 카잔'],movies,"['드라마', '범죄', '로맨스']",미국,1954,3.6,mO8K13W
애천,['진 네글레스코'],movies,[],미국,1954,3.3,mOk8Kkd
지상에서 영원으로,['프레드 진네만'],movies,"['로맨스', '전쟁', '드라마']",미국,1953,3.6,mWyJq6O
셰인,['조지 스티븐스'],movies,"['서부극', '드라마']",미국,1953,3.6,mWwB3E5
말 없는 사나이,['존 포드'],movies,"['코미디', '드라마', '로맨스', '서부극', '로맨틱코미디']",미국,1952,3.6,mJO1M8O
배드 앤 뷰티,['빈센트 미넬리'],movies,"['로맨스', '드라마']",미국,1952,3.7,m5G3rK5
젊은이의 양지,['조지 스티븐스'],movies,"['범죄', '액션', '드라마', '로맨스']",미국,1951,3.5,m6dRrrd
파리의 아메리카인,['빈센트 미넬리'],movies,"['드라마', '로맨스']",미국,1951,3.4,mdR3AV5
제3의 사나이,['캐럴 리드'],movies,"['미스터리', '스릴러']",영국,1949,3.7,mWqJl2O
솔로몬 왕의 보고,"['콤프톤 베넷', '앤드류 마튼']",movies,['로맨스'],미국,1950,3.2,mO8E73d
배틀그라운드,['윌리엄 A. 웰먼'],movies,"['액션', '전쟁', '드라마']",미국,1949,3.3,m5GEbnO
황색 리본을 한 여자,['존 포드'],movies,['서부극'],미국,1949,3.6,m53eJpO
네이키드 시티,['줄스 다신'],movies,"['범죄', '액션']",미국,1948,3.8,m53n23d
잔 다르크,['빅터 플레밍'],movies,"['전쟁', '드라마']",미국,1948,3.1,mOPeRYd
위대한 유산,['데이비드 린'],movies,['드라마'],영국,1946,3.6,mW9e68W
검은 수선화,"['마이클 파웰', '에메릭 프레스버거']",movies,['드라마'],영국,1947,3.5,md72pNO
왕과 나,['존 크롬웰'],movies,"['로맨스', '드라마']",미국,1946,3.7,m5GegYO
가장 특별한 선물,['클라렌스 브라운'],movies,"['드라마', '가족']",미국,1946,3.1,md6YrAO
도리안 그레이의 초상,['앨버트 루인'],movies,[],미국,1945,3.5,md6mAgO
리브 허 투 헤븐,['존 M. 스탈'],movies,"['범죄', '액션']",미국,1945,3.5,mO1EekO
로라,['라이너 베르너 파스빈더'],movies,[],독일,1981,3.7,md7Av8W
윌슨,['헨리 킹'],movies,['드라마'],미국,1944,0.0,mO8nD25
베르나데트의 노래,['헨리 킹'],movies,['드라마'],미국,1943,3.1,m5QegJ5
오페라의 유령,['아서 루빈'],movies,"['음악', '공포', '드라마']",미국,1943,2.7,mWpzymd
미니버 부인,['윌리엄 와일러'],movies,"['로맨스', '전쟁', '드라마']",미국,1942,3.3,m5Z2Kx5
나의 계곡은 푸르렀다,['존 포드'],movies,"['로맨스', '드라마']",미국,1941,3.9,mOANGad
혈과 사,['루벤 마모울리언'],movies,['드라마'],미국,1941,3.5,m5eYzM5
레베카,['알프레드 히치콕'],movies,"['드라마', '미스터리', '로맨스', '스릴러']",미국,1940,3.8,mOP7qaW
바그다드의 도둑,"['루드윅 버거', '팀 웰랜', '마이클 파웰']",movies,"['모험', '가족', '판타지', '로맨스']",영국,1940,3.5,m5Xa8zW
폭풍의 언덕,['윌리엄 와일러'],movies,['드라마'],미국,1939,3.4,mWLqVjO
바람과 함께 사라지다,['빅터 플레밍'],movies,"['전쟁', '로맨스', '시대극', '드라마', '코미디', '역사']",미국,1939,4.0,mXOgMN5
그레이트 왈츠,['줄리앙 뒤비비에르'],movies,['드라마'],미국,1938,3.5,mOPjQp5
대지,['시드니 프랭클린'],movies,"['드라마', '시대극']",미국,1937,3.4,mO8LG2O
안소니 에드버즈,"['마이클 커티즈', '머빈 르로이']",movies,[],미국,1936,3.0,md7RNMO
한여름 밤의 꿈,['윌리엄 디터리'],movies,"['로맨스', '판타지', '코미디']",미국,1935,3.3,m5ZngR5
클레오파트라,['세실 B. 데밀'],movies,['드라마'],미국,1934,3.5,mOP8ZaO
무기여 잘 있거라,['프랭크 보제즈'],movies,"['로맨스', '전쟁']",미국,1932,3.5,mO2R60O
상하이 익스프레스,['조세프 본 스텐버그'],movies,"['로맨스', '드라마']",미국,1932,3.4,mWL8ojW
타부,['F.W. 무르나우'],movies,"['로맨스', '드라마']",미국,1931,3.9,mOAL6XW
위드 버드 앳 더 사우스 폴,[],movies,['다큐멘터리'],미국,1930,5.0,mdMarRd
화이트 샤도우 인 더 사우스 씨,['W.S. 밴 다이크'],movies,[],미국,1928,3.1,m5eYr95
