title,director,content_type,genres,nation,year,ratings_avg,movie_code
크래쉬,['폴 해기스'],movies,"['범죄', '드라마']",독일,2004,3.6,m5ZXzVO
크래쉬,['데이빗 크로넨버그'],movies,"['드라마', '스릴러']",캐나다,1996,3.2,mXOgeY5
이터널 선샤인,['미셸 공드리'],movies,"['드라마', '로맨스', 'SF']",미국,2004,4.1,m85X9LW
사랑도 통역이 되나요?,['소피아 코폴라'],movies,['드라마'],미국,2003,3.5,mOAZ6Gd
그녀에게,['페드로 알모도바르'],movies,"['드라마', '미스터리', '로맨스']",스페인,2002,3.8,mdRLaKW
고스포드 파크,['로버트 알트먼'],movies,['드라마'],영국,2001,3.6,mWJny8W
올모스트 페이머스,['카메론 크로우'],movies,"['드라마', '음악']",미국,2000,3.7,mP5maG5
아메리칸 뷰티,['샘 멘데스'],movies,"['드라마', '코미디']",미국,1999,3.8,mnWJ03d
셰익스피어 인 러브,['존 매든'],movies,"['코미디', '드라마', '역사', '로맨스']",영국,1998,3.5,mBOk28W
굿 윌 헌팅,['구스 반 산트'],movies,['드라마'],미국,1997,4.2,mnWJyx5
파고,['조엘 코엔'],movies,"['범죄', '드라마', '스릴러', '코미디']",영국,1996,3.9,mVWzzVW
유주얼 서스펙트,['브라이언 싱어'],movies,"['범죄', '미스터리', '스릴러']",미국,1995,4.2,mdRLE4W
펄프 픽션,['쿠엔틴 타란티노'],movies,"['범죄', '스릴러', '코미디']",미국,1994,4.0,mOgBDaW
피아노,['제인 캠피온'],movies,"['드라마', '음악', '로맨스']",뉴질랜드,1993,3.7,mAOlBL5
크라잉 게임,['닐 조던'],movies,"['범죄', '로맨스', '액션', '드라마']",아일랜드,1992,3.4,myWqZaO
델마와 루이스,['리들리 스콧'],movies,['드라마'],미국,1991,3.9,m1WwKGW
사랑과 영혼,['제리 주커'],movies,"['스릴러', '드라마', '로맨스', '판타지']",미국,1990,3.8,mOVv38O
죽은 시인의 사회,['피터 위어'],movies,"['드라마', '틴에이저']",미국,1989,4.2,mjO0ovW
레인 맨,['베리 레빈슨'],movies,['드라마'],미국,1988,4.0,mqW9A4W
문스트럭,['노만 주이슨'],movies,"['로맨틱코미디', '드라마']",미국,1987,3.3,mOAZ2Xd
한나와 그 자매들,['우디 앨런'],movies,"['로맨틱코미디', '드라마']",미국,1986,3.6,mJO1Gx5
위트니스,['피터 위어'],movies,"['로맨스', '스릴러']",미국,1985,3.4,mWp41gW
마음의 고향,['로버트 벤튼'],movies,['드라마'],미국,1984,3.8,mdMaDXd
텐더 머시스,['브루스 베레스포드'],movies,['드라마'],미국,1983,3.5,mOVkoZd
간디,['리처드 애튼버러'],movies,['드라마'],영국,1982,3.4,mnOoya5
불의 전차,['휴 허드슨'],movies,"['드라마', '스포츠']",영국,1981,3.6,mJO1Kw5
멜빈과 하워드,['조나단 드미'],movies,"['드라마', '코미디']",미국,1980,3.2,mO2wM0d
브레이킹 어웨이,['피터 예이츠'],movies,"['스포츠', '드라마', '코미디', '가족']",미국,1979,3.9,mdBvKPd
귀향,['할 애쉬비'],movies,"['전쟁', '드라마']",미국,1978,3.5,mO1yrkO
애니 홀,['우디 앨런'],movies,['로맨틱코미디'],미국,1977,3.8,mr5Za6d
네트워크,['시드니 루멧'],movies,"['드라마', '코미디']",미국,1976,3.7,mW4gvR5
뜨거운 오후,['시드니 루멧'],movies,"['범죄', '액션', '드라마', '스릴러']",미국,1975,3.8,mnOoYZ5
차이나타운,['로만 폴란스키'],movies,"['드라마', '미스터리', '스릴러']",미국,1974,3.8,md7vJ1O
스팅,['조지 로이 힐'],movies,"['범죄', '드라마', '코미디']",미국,1973,4.0,m533D65
후보자,['마이클 리치'],movies,['드라마'],미국,1972,3.7,mOVkmZd
종합병원,['아더 힐러'],movies,"['드라마', '코미디']",미국,1971,3.4,mWz8KNd
패튼 대전차 군단,['프랭크린 J. 샤프너'],movies,"['전쟁', '드라마']",미국,1970,3.5,mOo0Qad
내일을 향해 쏴라,['조지 로이 힐'],movies,"['서부극', '드라마', '범죄']",미국,1969,3.9,m5eQb35
프로듀서,['멜 브룩스'],movies,['코미디'],미국,1968,3.6,mWLVJ3d
초대받지 않은 손님,['스탠리 크레이머'],movies,['드라마'],미국,1967,3.4,m6dRRad
남과 여,['끌로드 를르슈'],movies,['드라마'],프랑스,1966,3.7,mOAXQEW
달링,['존 슐레진저'],movies,[],영국,1965,3.4,mOAXPXW
파더 구즈,['랄프 넬슨'],movies,"['로맨틱코미디', '전쟁']",미국,1964,3.8,m5nNEq5
서부 개척사,"['존 포드', '헨리 헤서웨이', '조지 마샬']",movies,"['서부극', '드라마', '모험']",미국,1962,3.0,m5GeRnO
이혼 - 이탈리언 스타일,['피에트로 제르미'],movies,['코미디'],이탈리아,1961,3.7,m5QBK7W
초원의 빛,['엘리아 카잔'],movies,['드라마'],미국,1961,3.6,mr5ZrK5
아파트 열쇠를 빌려드립니다,['빌리 와일더'],movies,"['로맨틱코미디', '드라마', '코미디']",미국,1960,3.9,mv5avjW
필로우 토크,['마이클 고든'],movies,"['로맨스', '코미디']",미국,1959,3.5,mO0e1Vd
흑과 백,['스탠리 크레이머'],movies,"['드라마', '범죄']",미국,1958,3.6,mdjJ7Dd
디자이닝 우먼,['빈센트 미넬리'],movies,[],미국,1957,3.2,m5Ymyv5
빨간 풍선,['알베르 라모리스'],movies,"['판타지', '가족']",프랑스,1956,3.9,mOl44Gg
중단된 멜로디,['커티스 번하트'],movies,[],미국,1955,1.5,m5mN1zW
워터프론트,['엘리아 카잔'],movies,"['드라마', '범죄', '로맨스']",미국,1954,3.6,mO8K13W
지상에서 영원으로,['프레드 진네만'],movies,"['로맨스', '전쟁', '드라마']",미국,1953,3.6,mWyJq6O
라벤더 힐 몹,['찰스 크릭톤'],movies,"['범죄', '코미디']",영국,1951,3.7,mW9NoZO
파리의 아메리카인,['빈센트 미넬리'],movies,"['드라마', '로맨스']",미국,1951,3.4,mdR3AV5
선셋 대로,['빌리 와일더'],movies,"['드라마', '범죄']",미국,1950,4.0,mAOlELd
배틀그라운드,['윌리엄 A. 웰먼'],movies,"['액션', '전쟁', '드라마']",미국,1949,3.3,m5GEbnO
수색,['프레드 진네만'],movies,"['전쟁', '드라마']",미국,1948,3.6,mOlzR95
시에라 마드레의 보석,['존 휴스턴'],movies,"['모험', '드라마', '서부극']",미국,1948,3.6,mObG8nd
독신남,[],movies,[],미국,1947,3.8,mO8LQbO
베일 속의 사랑,['콤프톤 베넷'],movies,"['범죄', '액션']",영국,1946,4.5,mOoqoa5
마리 루이스,"['헤르만 할레르', '레오폴드 린트버그', '프란츠 슈나이더']",movies,[],스위스,1944,4.5,mOPj1p5
윌슨,['헨리 킹'],movies,['드라마'],미국,1944,0.0,mO8nD25
프린세스 오루크,['노먼 크라스너'],movies,['로맨틱코미디'],미국,1943,2.5,mWqzEXO
여성의 해,['조지 스티븐스'],movies,['로맨틱코미디'],미국,1942,3.2,m5rnno5
시민 케인,['오손 웰즈'],movies,"['범죄', '액션', '드라마']",미국,1941,3.8,m9dBjPd
위대한 맥긴티,['프레스턴 스터지스'],movies,['코미디'],미국,1940,3.6,mOkNDkW
스미스씨 워싱톤 가다,['프랑크 카프라'],movies,"['드라마', '코미디']",미국,1939,3.7,my5Yx7d
보이스 타운,['노만 타로그'],movies,['드라마'],미국,1938,3.2,mO836eW
스타 이즈 본 디 오리지널,"['윌리엄 A. 웰먼', '잭 콘웨이']",movies,['드라마'],미국,1937,3.3,mOPM4gd
과학자의 길,['윌리엄 디터리'],movies,['드라마'],미국,1936,3.5,mOV7lNd
악당,"['벤 헤트', '찰스 맥아더']",movies,[],미국,1935,0.0,mWyVy6O
맨하탄 멜로드라마,['W.S. 밴 다이크'],movies,[],미국,1934,3.2,md6ABKO
원 웨이 패시즈,['테이 가넷'],movies,[],미국,1932,0.0,mWzekB5
챔프,['킹 비더'],movies,"['스포츠', '드라마']",미국,1931,3.4,mdRD4KW
